bit-parallel, 1024, 5000000, 1.769143
bit-parallel-optimized, 1024, 5000000, 1.197179
bit-parallel-optimized2, 1024, 5000000, 0.700202
bit-parallel-mul, 1024, 5000000, 0.317872
bit-parallel32, 1024, 5000000, 2.802307
bit-parallel-optimized32, 1024, 5000000, 1.944720
harley-seal, 1024, 5000000, 0.395609
sse-bit-parallel, 1024, 5000000, 0.639484
sse-bit-parallel-original, 1024, 5000000, 0.556909
sse-bit-parallel-better, 1024, 5000000, 0.588173
sse-harley-seal, 1024, 5000000, 0.280963
sse-lookup, 1024, 5000000, 0.258579
sse-lookup-original, 1024, 5000000, 0.378991
avx2-lookup, 1024, 5000000, 0.140981
avx2-lookup-original, 1024, 5000000, 0.291025
avx2-harley-seal, 1024, 5000000, 0.159040
cpu, 1024, 5000000, 0.268402
sse-cpu, 1024, 5000000, 0.318441
avx2-cpu, 1024, 5000000, 0.295960
avx512-harley-seal, 1024, 5000000, 0.135241
avx512bw-shuf, 1024, 5000000, 0.316510
builtin-popcnt, 1024, 5000000, 0.307788
builtin-popcnt32, 1024, 5000000, 0.582397
builtin-popcnt-unrolled, 1024, 5000000, 0.262698
builtin-popcnt-unrolled32, 1024, 5000000, 0.399962
builtin-popcnt-unrolled-errata, 1024, 5000000, 0.254928
builtin-popcnt-unrolled-errata-manual, 1024, 5000000, 0.212758
builtin-popcnt-movdq, 1024, 5000000, 0.295725
builtin-popcnt-movdq-unrolled, 1024, 5000000, 0.251261
builtin-popcnt-movdq-unrolled_manual, 1024, 5000000, 0.285076
lookup-8, 32, 100000000, 1.155244
lookup-64, 32, 100000000, 1.110521
bit-parallel, 32, 100000000, 1.248360
bit-parallel-optimized, 32, 100000000, 0.904840
bit-parallel-optimized2, 32, 100000000, 1.946417
bit-parallel-mul, 32, 100000000, 0.319284
bit-parallel32, 32, 100000000, 1.741758
bit-parallel-optimized32, 32, 100000000, 1.331052
harley-seal, 32, 100000000, 0.499510
sse-bit-parallel, 32, 100000000, 1.770420
sse-bit-parallel-original, 32, 100000000, 1.121761
sse-bit-parallel-better, 32, 100000000, 2.472365
sse-harley-seal, 32, 100000000, 1.211088
sse-lookup, 32, 100000000, 0.560323
sse-lookup-original, 32, 100000000, 1.008884
avx2-lookup, 32, 100000000, 0.654542
avx2-lookup-original, 32, 100000000, 2.475169
avx2-harley-seal, 32, 100000000, 1.254405
cpu, 32, 100000000, 0.261579
sse-cpu, 32, 100000000, 1.787804
avx2-cpu, 32, 100000000, 2.380578
avx512-harley-seal, 32, 100000000, 3.258633
avx512bw-shuf, 32, 100000000, 3.073357
builtin-popcnt, 32, 100000000, 0.216430
builtin-popcnt32, 32, 100000000, 0.372555
builtin-popcnt-unrolled, 32, 100000000, 0.284011
builtin-popcnt-unrolled32, 32, 100000000, 0.411535
builtin-popcnt-unrolled-errata, 32, 100000000, 0.302570
builtin-popcnt-unrolled-errata-manual, 32, 100000000, 0.366797
builtin-popcnt-movdq, 32, 100000000, 0.209299
builtin-popcnt-movdq-unrolled, 32, 100000000, 0.295494
builtin-popcnt-movdq-unrolled_manual, 32, 100000000, 0.364264
lookup-8, 64, 50000000, 1.062027
lookup-64, 64, 50000000, 1.067265
bit-parallel, 64, 50000000, 1.166353
bit-parallel-optimized, 64, 50000000, 0.856096
bit-parallel-optimized2, 64, 50000000, 0.755804
bit-parallel-mul, 64, 50000000, 0.212061
bit-parallel32, 64, 50000000, 1.741421
bit-parallel-optimized32, 64, 50000000, 1.353032
harley-seal, 64, 50000000, 0.367884
sse-bit-parallel, 64, 50000000, 2.168119
sse-bit-parallel-original, 64, 50000000, 0.697842
sse-bit-parallel-better, 64, 50000000, 1.908501
sse-harley-seal, 64, 50000000, 0.774525
sse-lookup, 64, 50000000, 0.381620
sse-lookup-original, 64, 50000000, 0.666684
avx2-lookup, 64, 50000000, 0.378616
avx2-lookup-original, 64, 50000000, 1.404426
avx2-harley-seal, 64, 50000000, 0.745505
cpu, 64, 50000000, 0.205972
sse-cpu, 64, 50000000, 0.304637
avx2-cpu, 64, 50000000, 2.017500
avx512-harley-seal, 64, 50000000, 0.836144
avx512bw-shuf, 64, 50000000, 2.171452
builtin-popcnt, 64, 50000000, 0.183085
builtin-popcnt32, 64, 50000000, 0.372486
builtin-popcnt-unrolled, 64, 50000000, 0.191270
builtin-popcnt-unrolled32, 64, 50000000, 0.306950
builtin-popcnt-unrolled-errata, 64, 50000000, 0.215205
builtin-popcnt-unrolled-errata-manual, 64, 50000000, 0.256819
builtin-popcnt-movdq, 64, 50000000, 0.185642
builtin-popcnt-movdq-unrolled, 64, 50000000, 0.251577
builtin-popcnt-movdq-unrolled_manual, 64, 50000000, 0.240703
lookup-8, 128, 25000000, 1.291784
lookup-64, 128, 25000000, 1.160243
bit-parallel, 128, 25000000, 1.050477
bit-parallel-optimized, 128, 25000000, 0.728431
bit-parallel-optimized2, 128, 25000000, 0.614724
bit-parallel-mul, 128, 25000000, 0.185010
bit-parallel32, 128, 25000000, 1.684165
bit-parallel-optimized32, 128, 25000000, 1.245140
harley-seal, 128, 25000000, 0.349839
sse-bit-parallel, 128, 25000000, 1.114282
sse-bit-parallel-original, 128, 25000000, 0.500418
sse-bit-parallel-better, 128, 25000000, 1.151039
sse-harley-seal, 128, 25000000, 0.551363
sse-lookup, 128, 25000000, 0.257207
sse-lookup-original, 128, 25000000, 0.427566
avx2-lookup, 128, 25000000, 0.213560
avx2-lookup-original, 128, 25000000, 0.702864
avx2-harley-seal, 128, 25000000, 0.403145
cpu, 128, 25000000, 0.137449
sse-cpu, 128, 25000000, 0.207303
avx2-cpu, 128, 25000000, 0.247207
avx512-harley-seal, 128, 25000000, 0.456286
avx512bw-shuf, 128, 25000000, 1.193040
builtin-popcnt, 128, 25000000, 0.197912
builtin-popcnt32, 128, 25000000, 0.497988
builtin-popcnt-unrolled, 128, 25000000, 0.141876
builtin-popcnt-unrolled32, 128, 25000000, 0.271442
